WigleWifi-1.4,appRelease=2.42,model=Freifunk,release=8.1.0,device=dummy,display=OPM8.190305.001-myself5@M5TR,board=MSM8974,brand=Freifunk
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
56:90:7e:2c:a3:48,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.79385276,7.20743895,0,0,WIFI
46:40:b5:cb:47:20,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.62195568,7.02255964,0,0,WIFI
c6:91:37:ec:3f:f0,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.719765,6.918764,0,0,WIFI
1a:b3:aa:5c:95:20,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.83048317,7.11451784,0,0,WIFI
fe:66:b1:15:27:20,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.81489374,7.15828478,0,0,WIFI
a6:d2:fc:39:36:78,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.77528,7.71975,0,0,WIFI
6e:3f:a1:ef:f8:48,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.816122,7.159758,0,0,WIFI
5e:36:a5:23:2d:d8,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.81399215,7.16035545,0,0,WIFI
2e:50:73:56:5e:68,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.81415824,7.16191113,0,0,WIFI
0e:c7:ba:21:13:80,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.862067,7.21246,0,0,WIFI
fe:d1:f5:82:29:b0,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.825312,7.11154,0,0,WIFI
36:0a:76:02:d4:b0,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.836274,7.203443,0,0,WIFI
fe:a6:18:7c:9c:78,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.580142,6.94674969,0,0,WIFI
fe:e3:6b:36:f3:70,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.80257677,7.2021094,0,0,WIFI
92:28:7c:1f:6d:a8,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.6268578,7.0384172,0,0,WIFI
ba:7f:57:e3:74:58,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.62340379,7.02133387,0,0,WIFI
fa:a1:79:33:ce:88,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.857865,7.19387,0,0,WIFI
46:be:ec:06:0f:00,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.75875,7.1651,0,0,WIFI
62:73:28:e1:04:08,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.75938,7.16714,0,0,WIFI
ae:6f:fe:ad:21:f0,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.62355353,6.92744315,0,0,WIFI
9e:10:66:a0:ed:a0,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.81427094,7.16086373,0,0,WIFI
32:13:d0:d9:8b:c0,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.6243652,7.02121854,0,0,WIFI
4e:72:ca:1d:95:70,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.81556822,7.1560961,0,0,WIFI
8e:28:5c:a7:75:b0,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.62066068,7.02318996,0,0,WIFI
d6:01:d0:45:97:a8,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.840228,7.210422,0,0,WIFI
f2:c9:30:b6:4a:d0,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.83219735,7.2820648,0,0,WIFI
fe:b3:9b:c6:45:18,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.836348,7.018335,0,0,WIFI
56:a1:e8:e4:dc:18,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.80215,7.1311,0,0,WIFI
22:ae:e8:d3:da:20,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.80252931,7.13114619,0,0,WIFI
1e:d3:60:e4:af:00,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.825298,7.11174,0,0,WIFI
be:97:a7:72:b8:68,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.81610374,7.15317249,0,0,WIFI
ea:45:fc:ab:8e:20,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.78992,7.16496,0,0,WIFI
1a:8c:71:38:91:60,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.7918,7.16155,0,0,WIFI
ca:7a:fd:c6:5c:a8,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.81558856,7.14800119,0,0,WIFI
fa:6a:65:9e:f9:08,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.81506321,7.15705097,0,0,WIFI
9e:54:5f:9c:8d:10,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.81304903,7.14257911,0,0,WIFI
b2:f7:35:17:e7:38,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.81439719,7.13514537,0,0,WIFI
8e:5c:69:36:2a:c8,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.7899,7.16426,0,0,WIFI
e6:df:4f:3c:e0:18,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.81645,7.15231,0,0,WIFI
56:48:73:ba:bf:98,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.62755389,6.95802033,0,0,WIFI
ea:ae:e3:57:f5:c0,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.84094748,7.2114569,0,0,WIFI
2a:eb:4b:7c:3b:a8,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.64539481,7.35375479,0,0,WIFI
be:3f:71:a4:c1:98,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.8743421,7.22827644,0,0,WIFI
fe:51:62:c2:05:30,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.62858328,6.94728613,0,0,WIFI
fe:23:e7:a6:d1:48,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.85778,7.19405,0,0,WIFI
42:4d:12:da:40:28,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.84057485,7.21055835,0,0,WIFI
06:76:52:05:8a:c8,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.81231604,7.14713752,0,0,WIFI
f2:ac:dd:ac:14:88,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.7796308,7.09562838,0,0,WIFI
e2:8c:d1:95:18:40,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.79780311,7.61233181,0,0,WIFI
5e:01:f1:81:1d:f0,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.70492293,7.02083767,0,0,WIFI
42:9f:6a:26:5d:e8,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.77966,7.09527829,0,0,WIFI
f6:88:56:42:0b:08,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.80036117,7.12861553,0,0,WIFI
26:91:c1:3f:18:68,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.62390067,7.0216316,0,0,WIFI
b2:24:f0:b9:49:48,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.81405655,7.15941668,0,0,WIFI
4a:3a:b4:a0:00:88,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.84167578,7.21362948,0,0,WIFI
76:12:ff:3b:7f:18,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.62865644,6.94740951,0,0,WIFI
ce:6d:49:99:03:68,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.79372,7.69014,0,0,WIFI
8a:2c:7b:4a:68:98,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.840351,7.212673,0,0,WIFI
26:58:d0:37:4f:c8,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.622613,7.022017,0,0,WIFI
4a:15:fb:4a:f5:80,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.76623,7.677797,0,0,WIFI
66:96:6f:4c:ac:70,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.79418369,7.20771387,0,0,WIFI
16:b4:5d:da:08:08,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.7717235,7.18572378,0,0,WIFI
52:dd:f7:0b:57:70,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.81260246,7.18312204,0,0,WIFI
aa:2b:69:d9:8c:e8,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.6268869,6.94657803,0,0,WIFI
